1.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-5,1.00000,0.00000,1e-8,1e-8,1.5707963267948966,3.141592653589793
1e-5,2.41495,0.53809,1e-8,1e-8,1.5707963267948966,3.141592653589793
1e-5,5.83200,2.59894,1e-8,1e-8,1.5707963267948966,3.141592653589793
1e-5,14.0840,9.44470,1e-8,1e-8,1.5707963267948966,3.141592653589793
1e-5,34.0122,30.3140,1e-8,1e-8,1.5707963267948966,3.141592653589793
1e-5,82.1379,91.5086,1e-8,1e-8,1.5707963267948966,3.141592653589793
1e-5,198.359,265.187,1e-8,1e-8,1.5707963267948966,3.141592653589793
1e-5,479.028,747.150,1e-8,1e-8,1.5707963267948966,3.141592653589793
1e-5,1156.8303,2062.092846,1e-8,1e-8,1.5707963267948966,3.141592653589793
1e-5,2793.6913,5602.340432,1e-8,1e-8,1.5707963267948966,3.141592653589793
