 1 , 0.09325551352230832,0.5283510900044348,5.665628444349772
 2 , 0.12208574000396766,1.707792122993851,13.988465179785532
 3 , 0.16162099951179698,3.540872422483517,21.908492294808898
 4 , 0.2067778195196297,6.260519709496293,30.276553471935483
 5 , 0.2651506205147598,10.622298297996167,40.06137446472568
 6 , 0.29873316700104624,15.522671566490317,51.96166104460691
 7 , 0.3719637914909981,21.86512293299893,58.782933804803115
 8 , 0.416977761517046,29.637330412486335,71.07652529156465
 9 , 0.5040681250102352,39.62975498699234,78.61983930483136
 10 , 0.5917510064900853,50.31113255649689,85.02078070794096

# Nplanet:  1  No gradient:  0.08388204296352342  gradient:  0.5072608279879205  ratio:  6.047311320356203
#1 ,0.08388204296352342  , 0.5072608279879205  , 6.047311320356203
#2 ,0.11931770847877488  , 1.6138430850114673  , 13.52559570232234
#3 ,0.1549620819860138  , 3.448226013511885  , 22.25206301644235
#4 ,0.19635409949114546  , 6.1685706554562785  , 31.415542998298584
#5 ,0.2553767199860886  , 10.2380538675352  , 40.09000455520342
#6 ,0.3199114970047958  , 15.448766561516095  , 48.29075136766498
#7 ,0.3554569814587012  , 21.520624426484574  , 60.543541269521945
