1,0.083249429,0.251126409,3.01655413156047
2,0.117194407,0.566235585,4.8315922192430225
3,0.166599236,1.011065255,6.068846888349476
4,0.238415505,1.886303339,7.911831652895225
5,0.318035452,2.848256271,8.95578229750311
6,0.4235832,4.221422186,9.965981148449702
7,0.550742226,5.750487061,10.441340412129577
8,0.66291838,8.103609469,12.224143595173812
9,0.820488127,13.141303945,16.01644620142078
10,1.069644089,16.640632806,15.557168012359295

# Old version of the code & without TTVs:
#Nplanet: 1 No gradient: 0.074594084 gradient: 0.198266146 ratio: 2.6579339187273887
#1,0.074594084,0.198266146,2.6579339187273887
#2,0.110828776,0.53836672,4.8576438306961
#3,0.169391642,0.936578165,5.52906952162374
#4,0.247447573,1.648778905,6.6631443784659785
#5,0.315937157,2.519044751,7.97324624592985
#6,0.422693376,3.721907797,8.805219121768305
#7,0.641901657,5.258299463,8.191752436931317
